,0,1
0,KS,HOLI
1,HOLI,GPI
2,GPI,AXTA
3,AWI,ATHM
4,KAR,FMS
5,AXL,ASGN
6,AQXP,AMBC
7,AMBC,ALGT
8,ALGT,AIT
9,KYN,ATRO
10,ATRO,ATNI
11,ANIK,ANGO
12,AM,ALV
13,ALV,ALOG
14,AEGN,WRLD
15,WRLD,UHAL
16,NAII,CACC
17,CACC,ATSG
18,RGA,CH
19,CH,CEA
20,AOI,AMWD
21,AMWD,ALLY
22,HASI,GOL
23,GOL,GIL
24,ZNH,NFJ
25,HOMB,FAF
26,APLE,ANIP
27,AMSF,AGYS
28,AGM,AGII
29,ATRA,ARII
30,HMNY,GABC
31,ASUR,ASMB
32,AAC,TEAM
33,ARKR,APLP
34,ADAP,ACU
35,AMPH,AGR
36,FWRD,FEN
37,FEN,FEI
38,AGFS,ACV
39,OMAM,NSA
40,AXTI,AVXS
41,ASTE,ASND
42,PHX,KYE
43,KED,GLV
44,ASPU,AFT
45,AFT,BA
46,BIIB,BMY
47,BMY,BBBY
48,USB,BLK
49,BLK,YUM
50,YUM,BTU
51,BTU,MNST
52,FITB,ZBH
53,ZBH,PBR
54,PBR,BHP
55,CNBKA,CBRL
56,TD,MTB
57,BGCP,BWA
58,TOL,SAM
59,SAM,BOX
60,RBS,PBYI
61,BBD,EBS
62,FIBK,EWBC
63,EAT,CFR
64,CFR,BNS
65,BAS,WBK
66,SBGI,BRKR
67,BIO,WRB
68,COKE,CBI
69,BCOR,UBSH
70,DNB,BZUN
71,NXST,EVBN
72,EVBN,BYD
73,BMI,BIG
74,BIG,BDC
75,BAK,ZION
76,SFBS,SBNY
77,BZH,BSBR
78,NRIM,IBKR
79,IBKR,BPI
80,TLRD,OLBK
81,OLBK,NYCB
82,NYCB,NBIX
83,NBIX,NBHC
84,FMBI,FIVE
85,FIVE,CNOB
86,BOH,BKU
87,BH,BFAM
88,SBCF,ROLL
89,FFKT,FCNCA
90,BLKB,BBSI
91,JBT,HDB
92,BURL,BRO
93,BEAT,BCC
94,IBP,CSFL
95,CIB,CBU
96,CBU,CATY
97,BOFI,BLMN
98,IBCP,GWB
99,CUDA,CCBG
100,GRBK,GBT
101,BLDR,BIF
